Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Nantes,French Ligue 1,J9,33%,74% — 220 of 297,27% — 3 of 11,66% — 2 of 3
Brest,French Ligue 1,J9,25%,206 of 287 — 72%,2 of 7 — 29%,5 of 8 — 62%
Paris S-G,French Ligue 1,J9,75%,92% — 776 of 846,44% — 8 of 18,100% — 2 of 2
Monaco,French Ligue 1,J9,53%,347 of 451 — 77%,5 of 14 — 36%,2 of 2 — 100%
Toulouse,French Ligue 1,J9,47%,69% — 269 of 392,20% — 2 of 10,80% — 4 of 5
Lens,French Ligue 1,J9,32%,290 of 376 — 77%,4 of 7 — 57%,2 of 3 — 66%
Marseille,French Ligue 1,J9,68%,89% — 706 of 793,18% — 3 of 17,100% — 4 of 4
Lille,French Ligue 1,J9,62%,502 of 589 — 85%,12 of 23 — 52%,3 of 4 — 75%
Metz,French Ligue 1,J9,38%,75% — 275 of 365,40% — 4 of 10,50% — 6 of 12
Auxerre,French Ligue 1,J9,51%,316 of 408 — 77%,3 of 14 — 21%,3 of 4 — 75%
Le Havre,French Ligue 1,J9,49%,79% — 306 of 385,44% — 4 of 9,100% — 3 of 3
Angers,French Ligue 1,J9,38%,336 of 403 — 83%,4 of 7 — 57%,3 of 3 — 100%
Lorient,French Ligue 1,J9,62%,86% — 577 of 669,14% — 3 of 22,50% — 2 of 4
Pisa,Italian Serie A,J5,39%,180 of 269 — 67%,1 of 11 — 9%,2 of 2 — 100%
Fiorentina,Italian Serie A,J5,61%,79% — 333 of 422,14% — 2 of 14,100% — 1 of 1
Rennes,French Ligue 1,J9,58%,448 of 538 — 83%,7 of 18 — 39%,1 of 3 — 33%
Nice,French Ligue 1,J9,42%,77% — 297 of 388,38% — 3 of 8,85% — 6 of 7
Lyon,French Ligue 1,J9,48%,341 of 424 — 80%,2 of 7 — 29%,1 of 2 — 50%
Strasbourg,French Ligue 1,J9,52%,84% — 384 of 458,29% — 2 of 7,50% — 1 of 2
Metz,French Ligue 1,J10,46%,416 of 489 — 85%,5 of 15 — 33%,2 of 2 — 100%
Lens,French Ligue 1,J10,54%,85% — 483 of 568,20% — 2 of 10,80% — 4 of 5
Lorient,French Ligue 1,J10,23%,183 of 262 — 70%,2 of 5 — 40%,7 of 8 — 87%
Paris S-G,French Ligue 1,J10,77%,92% — 798 of 869,53% — 8 of 15,50% — 1 of 2
Le Havre,French Ligue 1,J10,46%,376 of 466 — 81%,3 of 13 — 23%,2 of 2 — 100%
Brest,French Ligue 1,J10,54%,81% — 439 of 545,25% — 2 of 8,66% — 2 of 3
Nice,French Ligue 1,J10,32%,237 of 315 — 75%,3 of 7 — 43%,4 of 4 — 100%
Lille,French Ligue 1,J10,68%,83% — 544 of 655,19% — 4 of 21,66% — 2 of 3
Strasbourg,French Ligue 1,J10,64%,646 of 725 — 89%,9 of 18 — 50%,1 of 1 — 100%
Auxerre,French Ligue 1,J10,36%,82% — 338 of 412,17% — 1 of 6,66% — 6 of 9
Marseille,French Ligue 1,J10,59%,586 of 675 — 87%,6 of 11 — 55%,4 of 6 — 66%
Angers,French Ligue 1,J10,41%,80% — 374 of 470,50% — 6 of 12,66% — 4 of 6
Nantes,French Ligue 1,J10,50%,316 of 421 — 75%,5 of 18 — 28%,4 of 9 — 44%
Monaco,French Ligue 1,J10,50%,81% — 344 of 427,47% — 9 of 19,40% — 2 of 5
Paris FC,French Ligue 1,J10,52%,414 of 499 — 83%,3 of 11 — 27%,1 of 4 — 25%
Lyon,French Ligue 1,J10,48%,84% — 388 of 464,57% — 4 of 7,0% — 0 of 3
Lecce,Italian Serie A,J5,34%,183 of 284 — 64%,4 of 12 — 33%,3 of 4 — 75%
Bologna,Italian Serie A,J5,66%,83% — 462 of 558,31% — 4 of 13,50% — 2 of 4
Toulouse,French Ligue 1,J10,55%,382 of 483 — 79%,3 of 14 — 21%,3 of 5 — 60%
Rennes,French Ligue 1,J10,45%,76% — 298 of 393,45% — 5 of 11,66% — 2 of 3
Paris S-G,French Ligue 1,J11,76%,805 of 875 — 92%,8 of 28 — 29%,2 of 2 — 100%
Nice,French Ligue 1,J11,24%,74% — 199 of 270,40% — 2 of 5,87% — 7 of 8
Monaco,French Ligue 1,J11,56%,454 of 564 — 80%,1 of 10 — 10%,0 of 1 — 0%
Paris FC,French Ligue 1,J11,44%,79% — 350 of 445,10% — 1 of 10,100% — 1 of 1
Auxerre,French Ligue 1,J11,49%,409 of 492 — 83%,4 of 8 — 50%,1 of 2 — 50%
Marseille,French Ligue 1,J11,51%,87% — 441 of 507,33% — 2 of 6,100% — 4 of 4
Rennes,French Ligue 1,J11,42%,364 of 445 — 82%,6 of 13 — 46%,1 of 2 — 50%
Strasbourg,French Ligue 1,J11,58%,88% — 549 of 622,10% — 2 of 20,33% — 2 of 6
Lille,French Ligue 1,J11,53%,490 of 586 — 84%,3 of 15 — 20%,1 of 1 — 100%
Angers,French Ligue 1,J11,47%,83% — 421 of 510,17% — 1 of 6,66% — 2 of 3
Nantes,French Ligue 1,J11,53%,334 of 415 — 80%,4 of 16 — 25%,5 of 7 — 71%
Metz,French Ligue 1,J11,47%,79% — 295 of 373,50% — 7 of 14,100% — 4 of 4
Lens,French Ligue 1,J11,58%,584 of 668 — 87%,5 of 9 — 56%,3 of 3 — 100%
Lorient,French Ligue 1,J11,42%,83% — 399 of 479,27% — 3 of 11,40% — 2 of 5
Toulouse,French Ligue 1,J11,46%,288 of 399 — 72%,2 of 18 — 11%,3 of 3 — 100%
Le Havre,French Ligue 1,J11,54%,78% — 368 of 469,33% — 3 of 9,100% — 2 of 2
Brest,French Ligue 1,J11,50%,342 of 439 — 78%,3 of 13 — 23%,2 of 2 — 100%
Lyon,French Ligue 1,J11,50%,81% — 359 of 441,50% — 2 of 4,100% — 3 of 3
Milan,Italian Serie A,J5,37%,308 of 374 — 82%,3 of 6 — 50%,6 of 6 — 100%
Napoli,Italian Serie A,J5,63%,88% — 570 of 649,33% — 6 of 18,33% — 1 of 3
Paris FC,French Ligue 1,J12,52%,386 of 486 — 79%,4 of 20 — 20%,2 of 3 — 66%
Rennes,French Ligue 1,J12,48%,79% — 353 of 449,30% — 3 of 10,100% — 4 of 4
Marseille,French Ligue 1,J12,63%,621 of 689 — 90%,6 of 18 — 33%,2 of 2 — 100%
Brest,French Ligue 1,J12,37%,80% — 324 of 406,50% — 2 of 4,66% — 4 of 6
Le Havre,French Ligue 1,J12,64%,431 of 541 — 80%,4 of 17 — 24%,1 of 2 — 50%
Nantes,French Ligue 1,J12,36%,68% — 207 of 303,40% — 2 of 5,75% — 3 of 4
Monaco,French Ligue 1,J12,50%,413 of 503 — 82%,4 of 14 — 29%,7 of 11 — 63%
Lens,French Ligue 1,J12,50%,84% — 417 of 496,55% — 11 of 20,100% — 4 of 4
Lorient,French Ligue 1,J12,49%,338 of 433 — 78%,1 of 9 — 11%,1 of 1 — 100%
Toulouse,French Ligue 1,J12,51%,81% — 369 of 458,20% — 1 of 5,100% — 1 of 1
Strasbourg,French Ligue 1,J12,42%,303 of 383 — 79%,2 of 5 — 40%,4 of 4 — 100%
Lille,French Ligue 1,J12,58%,83% — 436 of 525,67% — 4 of 6,0% — 0 of 2
Angers,French Ligue 1,J12,50%,403 of 495 — 81%,5 of 9 — 56%,5 of 5 — 100%
Auxerre,French Ligue 1,J12,51%,83% — 418 of 505,42% — 5 of 12,80% — 4 of 5
Metz,French Ligue 1,J12,50%,379 of 469 — 81%,1 of 8 — 13%,3 of 4 — 75%
Nice,French Ligue 1,J12,50%,88% — 416 of 474,36% — 4 of 11,0% — 0 of 1
Lyon,French Ligue 1,J12,29%,235 of 310 — 76%,2 of 9 — 22%,1 of 4 — 25%
Paris S-G,French Ligue 1,J12,71%,89% — 685 of 769,44% — 4 of 9,0% — 0 of 2
Nice,French Ligue 1,J13,53%,474 of 552 — 86%,7 of 15 — 47%,6 of 11 — 54%
Marseille,French Ligue 1,J13,47%,87% — 423 of 485,85% — 11 of 13,85% — 6 of 7
Parma,Italian Serie A,J5,37%,210 of 297 — 71%,1 of 12 — 8%,3 of 4 — 75%
Torino,Italian Serie A,J5,63%,79% — 393 of 496,27% — 4 of 15,0% — 0 of 1
Lens,French Ligue 1,J13,54%,500 of 593 — 84%,5 of 13 — 38%,1 of 1 — 100%
Strasbourg,French Ligue 1,J13,46%,82% — 409 of 496,14% — 1 of 7,80% — 4 of 5
Rennes,French Ligue 1,J13,50%,445 of 535 — 83%,7 of 16 — 44%,2 of 3 — 66%
Monaco,French Ligue 1,J13,50%,86% — 457 of 533,23% — 3 of 13,57% — 4 of 7
Paris S-G,French Ligue 1,J13,65%,548 of 636 — 86%,11 of 31 — 35%,3 of 3 — 100%
Le Havre,French Ligue 1,J13,35%,72% — 248 of 343,25% — 3 of 12,72% — 8 of 11
Auxerre,French Ligue 1,J13,31%,196 of 275 — 71%,4 of 11 — 36%,7 of 7 — 100%
Lyon,French Ligue 1,J13,69%,84% — 512 of 613,44% — 7 of 16,100% — 4 of 4
Toulouse,French Ligue 1,J13,54%,421 of 518 — 81%,6 of 25 — 24%,1 of 2 — 50%
Angers,French Ligue 1,J13,46%,79% — 349 of 444,33% — 2 of 6,100% — 6 of 6
Brest,French Ligue 1,J13,56%,463 of 560 — 83%,5 of 18 — 28%,2 of 3 — 66%
Metz,French Ligue 1,J13,44%,79% — 350 of 443,43% — 3 of 7,60% — 3 of 5
Nantes,French Ligue 1,J13,56%,448 of 545 — 82%,1 of 9 — 11%,1 of 1 — 100%
Lorient,French Ligue 1,J13,44%,81% — 352 of 433,14% — 1 of 7,0% — 0 of 1
Lille,French Ligue 1,J13,52%,417 of 519 — 80%,8 of 15 — 53%,1 of 3 — 33%
Paris FC,French Ligue 1,J13,48%,78% — 381 of 486,50% — 3 of 6,75% — 6 of 8
Metz,French Ligue 1,J14,52%,436 of 528 — 83%,5 of 16 — 31%,1 of 2 — 50%
Rennes,French Ligue 1,J14,48%,80% — 397 of 496,22% — 2 of 9,100% — 5 of 5
Monaco,French Ligue 1,J14,43%,331 of 434 — 76%,5 of 10 — 50%,4 of 4 — 100%
Paris S-G,French Ligue 1,J14,57%,83% — 470 of 567,24% — 4 of 17,80% — 4 of 5
Cagliari,Italian Serie A,J1,45%,317 of 393 — 81%,5 of 14 — 36%,0 of 1 — 0%
Fiorentina,Italian Serie A,J1,55%,82% — 387 of 473,25% — 1 of 4,80% — 4 of 5
Genoa,Italian Serie A,J5,65%,466 of 562 — 83%,5 of 17 — 29%,2 of 5 — 40%
Lazio,Italian Serie A,J5,35%,70% — 210 of 301,56% — 5 of 9,100% — 5 of 5
Paris FC,French Ligue 1,J14,54%,477 of 547 — 87%,1 of 10 — 10%,2 of 3 — 66%
Auxerre,French Ligue 1,J14,46%,84% — 386 of 460,27% — 3 of 11,100% — 1 of 1
Marseille,French Ligue 1,J14,76%,683 of 763 — 90%,4 of 20 — 20%,2 of 4 — 50%
Toulouse,French Ligue 1,J14,24%,71% — 171 of 242,67% — 4 of 6,50% — 2 of 4
Strasbourg,French Ligue 1,J14,57%,517 of 602 — 86%,6 of 14 — 43%,2 of 3 — 66%
Brest,French Ligue 1,J14,43%,81% — 369 of 457,50% — 3 of 6,83% — 5 of 6
Lorient,French Ligue 1,J14,43%,387 of 461 — 84%,7 of 18 — 39%,2 of 2 — 100%
Nice,French Ligue 1,J14,57%,84% — 513 of 609,22% — 2 of 9,57% — 4 of 7
Le Havre,French Ligue 1,J14,42%,286 of 384 — 74%,7 of 14 — 50%,1 of 2 — 50%
Lille,French Ligue 1,J14,58%,82% — 428 of 522,25% — 2 of 8,100% — 7 of 7
Angers,French Ligue 1,J14,45%,353 of 464 — 76%,5 of 7 — 71%,4 of 6 — 66%
Lens,French Ligue 1,J14,55%,83% — 470 of 565,35% — 6 of 17,80% — 4 of 5
Lyon,French Ligue 1,J14,70%,567 of 658 — 86%,7 of 20 — 35%,2 of 2 — 100%
Nantes,French Ligue 1,J14,30%,73% — 202 of 278,33% — 2 of 6,57% — 4 of 7
Brest,French Ligue 1,J15,41%,245 of 353 — 69%,4 of 12 — 33%,2 of 2 — 100%
Monaco,French Ligue 1,J15,59%,80% — 414 of 517,20% — 2 of 10,75% — 3 of 4
Lille,French Ligue 1,J15,42%,365 of 448 — 81%,2 of 5 — 40%,2 of 2 — 100%
Marseille,French Ligue 1,J15,58%,86% — 535 of 621,33% — 2 of 6,50% — 1 of 2
Nantes,French Ligue 1,J15,34%,231 of 318 — 73%,3 of 9 — 33%,4 of 6 — 66%
Lens,French Ligue 1,J15,66%,83% — 502 of 605,30% — 6 of 20,66% — 2 of 3
Hellas Verona,Italian Serie A,J6,58%,371 of 484 — 77%,9 of 17 — 53%,1 of 2 — 50%
Sassuolo,Italian Serie A,J6,42%,75% — 261 of 348,20% — 2 of 10,100% — 9 of 9
Toulouse,French Ligue 1,J15,29%,257 of 328 — 78%,3 of 6 — 50%,0 of 0 — %
Strasbourg,French Ligue 1,J15,71%,90% — 743 of 822,0% — 0 of 3,66% — 2 of 3
Paris S-G,French Ligue 1,J15,66%,674 of 742 — 91%,9 of 20 — 45%,2 of 2 — 100%
Rennes,French Ligue 1,J15,34%,84% — 322 of 384,33% — 2 of 6,44% — 4 of 9
Nice,French Ligue 1,J15,50%,463 of 566 — 82%,3 of 14 — 21%,3 of 4 — 75%
Angers,French Ligue 1,J15,50%,84% — 470 of 561,50% — 4 of 8,100% — 3 of 3
Le Havre,French Ligue 1,J15,45%,359 of 445 — 81%,2 of 12 — 17%,2 of 2 — 100%
Paris FC,French Ligue 1,J15,55%,86% — 477 of 553,15% — 2 of 13,100% — 2 of 2
Auxerre,French Ligue 1,J15,39%,306 of 373 — 82%,6 of 13 — 46%,2 of 3 — 66%
Metz,French Ligue 1,J15,61%,87% — 512 of 589,60% — 3 of 5,66% — 4 of 6
Lorient,French Ligue 1,J15,40%,254 of 328 — 77%,6 of 14 — 43%,4 of 4 — 100%
Lyon,French Ligue 1,J15,60%,82% — 407 of 495,57% — 4 of 7,83% — 5 of 6
Angers,French Ligue 1,J16,54%,437 of 526 — 83%,8 of 19 — 42%,3 of 4 — 75%
Nantes,French Ligue 1,J16,46%,79% — 348 of 443,57% — 4 of 7,62% — 5 of 8
Rennes,French Ligue 1,J16,60%,428 of 535 — 80%,5 of 9 — 56%,6 of 7 — 85%
Brest,French Ligue 1,J16,40%,69% — 245 of 353,50% — 7 of 14,40% — 2 of 5
Metz,French Ligue 1,J16,41%,411 of 489 — 84%,5 of 9 — 56%,6 of 9 — 66%
Paris S-G,French Ligue 1,J16,59%,91% — 647 of 708,64% — 9 of 14,60% — 3 of 5
Paris FC,French Ligue 1,J16,65%,570 of 651 — 88%,2 of 9 — 22%,0 of 3 — 0%
Toulouse,French Ligue 1,J16,35%,78% — 277 of 356,50% — 3 of 6,100% — 2 of 2
Lazio,Italian Serie A,J6,49%,357 of 446 — 80%,3 of 8 — 38%,5 of 8 — 62%
Torino,Italian Serie A,J6,51%,80% — 378 of 471,50% — 8 of 16,33% — 1 of 3
Lyon,French Ligue 1,J16,57%,343 of 427 — 80%,4 of 18 — 22%,3 of 3 — 100%
Le Havre,French Ligue 1,J16,43%,74% — 235 of 318,33% — 3 of 9,75% — 3 of 4
Lens,French Ligue 1,J16,46%,377 of 462 — 82%,5 of 15 — 33%,4 of 4 — 100%
Nice,French Ligue 1,J16,54%,83% — 454 of 548,50% — 4 of 8,60% — 3 of 5
Auxerre,French Ligue 1,J16,45%,322 of 396 — 81%,7 of 17 — 41%,1 of 5 — 20%
Lille,French Ligue 1,J16,55%,83% — 402 of 482,63% — 5 of 8,85% — 6 of 7
Strasbourg,French Ligue 1,J16,62%,669 of 744 — 90%,1 of 12 — 8%,2 of 2 — 100%
Lorient,French Ligue 1,J16,38%,84% — 376 of 447,22% — 2 of 9,100% — 1 of 1
Marseille,French Ligue 1,J16,57%,434 of 536 — 81%,7 of 18 — 39%,5 of 5 — 100%
Monaco,French Ligue 1,J16,43%,75% — 298 of 397,28% — 5 of 18,85% — 6 of 7
Parma,Italian Serie A,J6,62%,406 of 513 — 79%,2 of 10 — 20%,2 of 3 — 66%
Lecce,Italian Serie A,J6,38%,65% — 199 of 308,43% — 3 of 7,100% — 2 of 2
Inter,Italian Serie A,J6,66%,560 of 657 — 85%,9 of 27 — 33%,1 of 2 — 50%
Cremonese,Italian Serie A,J6,34%,76% — 259 of 343,67% — 2 of 3,55% — 5 of 9
Atalanta,Italian Serie A,J6,51%,410 of 497 — 82%,3 of 16 — 19%,3 of 4 — 75%
Como,Italian Serie A,J6,49%,83% — 400 of 482,33% — 4 of 12,66% — 2 of 3
Udinese,Italian Serie A,J6,60%,396 of 486 — 81%,4 of 23 — 17%,1 of 2 — 50%
Cagliari,Italian Serie A,J6,40%,71% — 235 of 329,25% — 2 of 8,75% — 3 of 4
Bologna,Italian Serie A,J6,71%,515 of 592 — 87%,7 of 24 — 29%,0 of 0 — %
Pisa,Italian Serie A,J6,29%,67% — 164 of 246,0% — 0 of 2,42% — 3 of 7
Fiorentina,Italian Serie A,J6,45%,316 of 413 — 77%,3 of 11 — 27%,1 of 3 — 33%
Roma,Italian Serie A,J6,55%,81% — 403 of 498,38% — 3 of 8,66% — 2 of 3
Napoli,Italian Serie A,J6,68%,496 of 606 — 82%,5 of 12 — 42%,0 of 1 — 0%
Genoa,Italian Serie A,J6,32%,66% — 184 of 279,17% — 1 of 6,60% — 3 of 5
Como,Italian Serie A,J1,63%,511 of 575 — 89%,6 of 19 — 32%,1 of 1 — 100%
Lazio,Italian Serie A,J1,38%,83% — 288 of 345,20% — 1 of 5,66% — 4 of 6
Juventus,Italian Serie A,J6,51%,441 of 517 — 85%,3 of 12 — 25%,4 of 4 — 100%
Milan,Italian Serie A,J6,49%,88% — 437 of 497,33% — 4 of 12,100% — 3 of 3
Pisa,Italian Serie A,J7,58%,405 of 502 — 81%,0 of 7 — 0%,3 of 3 — 100%
Hellas Verona,Italian Serie A,J7,42%,66% — 238 of 363,20% — 3 of 15,% — 0 of 0
Lecce,Italian Serie A,J7,52%,365 of 461 — 79%,2 of 11 — 18%,2 of 2 — 100%
Sassuolo,Italian Serie A,J7,48%,77% — 328 of 428,22% — 2 of 9,100% — 2 of 2
Torino,Italian Serie A,J7,32%,229 of 316 — 72%,2 of 12 — 17%,5 of 5 — 100%
Napoli,Italian Serie A,J7,68%,85% — 571 of 668,23% — 5 of 22,50% — 1 of 2
Roma,Italian Serie A,J7,57%,467 of 556 — 84%,5 of 15 — 33%,2 of 3 — 66%
Inter,Italian Serie A,J7,43%,75% — 314 of 418,25% — 3 of 12,100% — 5 of 5
Como,Italian Serie A,J7,45%,319 of 401 — 80%,6 of 12 — 50%,3 of 3 — 100%
Juventus,Italian Serie A,J7,55%,82% — 396 of 482,20% — 3 of 15,66% — 4 of 6
Cagliari,Italian Serie A,J7,43%,266 of 358 — 74%,3 of 4 — 75%,5 of 7 — 71%
Bologna,Italian Serie A,J7,57%,83% — 390 of 470,70% — 7 of 10,100% — 3 of 3
Genoa,Italian Serie A,J7,67%,500 of 591 — 85%,6 of 22 — 27%,0 of 0 — %
Parma,Italian Serie A,J7,33%,66% — 189 of 285,0% — 0 of 1,100% — 6 of 6
Atalanta,Italian Serie A,J7,58%,587 of 664 — 88%,6 of 16 — 38%,1 of 1 — 100%
Lazio,Italian Serie A,J7,42%,86% — 406 of 474,25% — 1 of 4,100% — 6 of 6
Bayern Munich,German Bundesliga,J1,63%,621 of 691 — 90%,9 of 19 — 47%,1 of 1 — 100%
RB Leipzig,German Bundesliga,J1,37%,81% — 329 of 406,8% — 1 of 12,33% — 3 of 9
Eint Frankfurt,German Bundesliga,J1,53%,432 of 520 — 83%,5 of 18 — 28%,4 of 5 — 80%
Werder Bremen,German Bundesliga,J1,47%,81% — 376 of 466,50% — 5 of 10,20% — 1 of 5
Freiburg,German Bundesliga,J1,61%,399 of 514 — 78%,3 of 15 — 20%,2 of 5 — 40%
Augsburg,German Bundesliga,J1,39%,68% — 227 of 334,36% — 5 of 14,100% — 3 of 3
Milan,Italian Serie A,J7,56%,450 of 522 — 86%,3 of 13 — 23%,0 of 1 — 0%
Fiorentina,Italian Serie A,J7,44%,80% — 330 of 412,20% — 1 of 5,66% — 2 of 3
Union Berlin,German Bundesliga,J1,25%,140 of 230 — 61%,2 of 8 — 25%,5 of 6 — 83%
Stuttgart,German Bundesliga,J1,75%,85% — 575 of 675,29% — 6 of 21,0% — 0 of 2
Heidenheim,German Bundesliga,J1,49%,344 of 431 — 80%,2 of 7 — 29%,2 of 4 — 50%
Wolfsburg,German Bundesliga,J1,51%,79% — 355 of 450,29% — 4 of 14,50% — 1 of 2
Leverkusen,German Bundesliga,J1,60%,518 of 618 — 84%,2 of 7 — 29%,3 of 5 — 60%
Hoffenheim,German Bundesliga,J1,40%,80% — 335 of 419,50% — 5 of 10,50% — 1 of 2
St. Pauli,German Bundesliga,J1,51%,425 of 540 — 79%,6 of 10 — 60%,3 of 6 — 50%
Dortmund,German Bundesliga,J1,49%,85% — 439 of 514,86% — 6 of 7,66% — 4 of 6
Mainz 05,German Bundesliga,J1,51%,337 of 460 — 73%,2 of 19 — 11%,1 of 2 — 50%
Köln,German Bundesliga,J1,49%,80% — 348 of 437,17% — 2 of 12,100% — 2 of 2
Gladbach,German Bundesliga,J1,61%,512 of 606 — 84%,4 of 17 — 24%,1 of 1 — 100%
Hamburger SV,German Bundesliga,J1,39%,78% — 306 of 394,14% — 1 of 7,100% — 4 of 4
Hamburger SV,German Bundesliga,J2,47%,388 of 475 — 82%,2 of 5 — 40%,4 of 6 — 66%
St. Pauli,German Bundesliga,J2,53%,79% — 421 of 532,35% — 6 of 17,100% — 2 of 2
Werder Bremen,German Bundesliga,J2,45%,411 of 496 — 83%,4 of 11 — 36%,1 of 3 — 33%
Leverkusen,German Bundesliga,J2,55%,87% — 531 of 613,33% — 3 of 9,50% — 2 of 4
Stuttgart,German Bundesliga,J2,51%,462 of 536 — 86%,5 of 13 — 38%,6 of 6 — 100%
Gladbach,German Bundesliga,J2,49%,81% — 421 of 518,40% — 6 of 15,80% — 4 of 5
Hoffenheim,German Bundesliga,J2,58%,427 of 535 — 80%,5 of 17 — 29%,3 of 6 — 50%
Eint Frankfurt,German Bundesliga,J2,42%,74% — 289 of 388,67% — 6 of 9,80% — 4 of 5
Atalanta,Italian Serie A,J1,66%,513 of 611 — 84%,6 of 21 — 29%,2 of 2 — 100%
Pisa,Italian Serie A,J1,34%,73% — 234 of 321,18% — 2 of 11,83% — 5 of 6
Cremonese,Italian Serie A,J7,52%,305 of 407 — 75%,3 of 11 — 27%,0 of 1 — 0%
Udinese,Italian Serie A,J7,48%,79% — 299 of 378,13% — 1 of 8,66% — 2 of 3
RB Leipzig,German Bundesliga,J2,65%,488 of 575 — 85%,5 of 19 — 26%,3 of 3 — 100%
Heidenheim,German Bundesliga,J2,35%,69% — 213 of 307,60% — 3 of 5,60% — 3 of 5
Augsburg,German Bundesliga,J2,43%,321 of 419 — 77%,3 of 10 — 30%,7 of 10 — 70%
Bayern Munich,German Bundesliga,J2,57%,83% — 462 of 556,50% — 10 of 20,33% — 1 of 3
Wolfsburg,German Bundesliga,J2,40%,259 of 356 — 73%,3 of 11 — 27%,2 of 2 — 100%
Mainz 05,German Bundesliga,J2,60%,79% — 416 of 528,13% — 2 of 16,66% — 2 of 3
Dortmund,German Bundesliga,J2,65%,660 of 743 — 89%,6 of 11 — 55%,3 of 3 — 100%
Union Berlin,German Bundesliga,J2,35%,77% — 311 of 402,25% — 3 of 12,50% — 3 of 6
Köln,German Bundesliga,J2,39%,299 of 383 — 78%,6 of 18 — 33%,1 of 2 — 50%
Freiburg,German Bundesliga,J2,61%,82% — 499 of 611,17% — 2 of 12,33% — 2 of 6
Leverkusen,German Bundesliga,J3,40%,264 of 345 — 77%,6 of 17 — 35%,1 of 2 — 50%
Eint Frankfurt,German Bundesliga,J3,60%,84% — 440 of 526,15% — 2 of 13,66% — 4 of 6
Union Berlin,German Bundesliga,J3,43%,259 of 386 — 67%,6 of 20 — 30%,4 of 6 — 66%
Hoffenheim,German Bundesliga,J3,57%,76% — 385 of 505,86% — 6 of 7,66% — 4 of 6
Freiburg,German Bundesliga,J3,46%,294 of 419 — 70%,5 of 13 — 38%,1 of 2 — 50%
Stuttgart,German Bundesliga,J3,54%,82% — 398 of 488,29% — 2 of 7,60% — 3 of 5
Wolfsburg,German Bundesliga,J3,55%,412 of 490 — 84%,6 of 14 — 43%,5 of 8 — 62%
Köln,German Bundesliga,J3,45%,78% — 314 of 405,57% — 8 of 14,50% — 3 of 6
Mainz 05,German Bundesliga,J3,56%,360 of 506 — 71%,2 of 13 — 15%,2 of 3 — 66%
RB Leipzig,German Bundesliga,J3,44%,70% — 277 of 395,16% — 3 of 19,100% — 2 of 2
Milan,Italian Serie A,J8,68%,584 of 666 — 88%,7 of 20 — 35%,0 of 1 — 0%
Pisa,Italian Serie A,J8,32%,77% — 243 of 317,14% — 1 of 7,71% — 5 of 7
Heidenheim,German Bundesliga,J3,25%,188 of 273 — 69%,1 of 6 — 17%,6 of 8 — 75%
Dortmund,German Bundesliga,J3,75%,89% — 741 of 836,47% — 8 of 17,100% — 1 of 1
Bayern Munich,German Bundesliga,J3,70%,735 of 809 — 91%,11 of 21 — 52%,2 of 2 — 100%
Hamburger SV,German Bundesliga,J3,30%,81% — 285 of 350,22% — 2 of 9,63% — 7 of 11
St. Pauli,German Bundesliga,J3,56%,466 of 587 — 79%,6 of 12 — 50%,4 of 5 — 80%
Augsburg,German Bundesliga,J3,44%,79% — 364 of 458,50% — 5 of 10,66% — 4 of 6
Gladbach,German Bundesliga,J3,54%,451 of 553 — 82%,2 of 19 — 11%,3 of 6 — 50%
Werder Bremen,German Bundesliga,J3,46%,81% — 376 of 462,50% — 6 of 12,100% — 2 of 2
Stuttgart,German Bundesliga,J4,54%,494 of 574 — 86%,7 of 16 — 44%,2 of 2 — 100%
St. Pauli,German Bundesliga,J4,46%,76% — 367 of 485,22% — 2 of 9,71% — 5 of 7
Werder Bremen,German Bundesliga,J4,61%,503 of 596 — 84%,4 of 11 — 36%,3 of 4 — 75%
Freiburg,German Bundesliga,J4,39%,77% — 297 of 384,44% — 4 of 9,100% — 4 of 4
Augsburg,German Bundesliga,J4,60%,452 of 554 — 82%,5 of 18 — 28%,0 of 4 — 0%
Mainz 05,German Bundesliga,J4,40%,70% — 259 of 370,33% — 4 of 12,80% — 4 of 5
Hoffenheim,German Bundesliga,J4,38%,277 of 369 — 75%,3 of 12 — 25%,6 of 8 — 75%
Bayern Munich,German Bundesliga,J4,62%,87% — 519 of 596,50% — 8 of 16,66% — 2 of 3
Hamburger SV,German Bundesliga,J4,49%,354 of 425 — 83%,9 of 22 — 41%,6 of 7 — 85%
Heidenheim,German Bundesliga,J4,51%,80% — 356 of 444,33% — 7 of 21,77% — 7 of 9
RB Leipzig,German Bundesliga,J4,47%,389 of 460 — 85%,8 of 18 — 44%,0 of 1 — 0%
Köln,German Bundesliga,J4,53%,84% — 436 of 521,8% — 1 of 13,62% — 5 of 8
Udinese,Italian Serie A,J8,44%,286 of 391 — 73%,4 of 8 — 50%,1 of 3 — 33%
Lecce,Italian Serie A,J8,56%,77% — 379 of 491,23% — 3 of 13,25% — 1 of 4
Eint Frankfurt,German Bundesliga,J4,77%,622 of 730 — 85%,9 of 18 — 50%,1 of 5 — 20%
Union Berlin,German Bundesliga,J4,23%,57% — 128 of 223,45% — 5 of 11,77% — 7 of 9
Leverkusen,German Bundesliga,J4,61%,628 of 705 — 89%,8 of 13 — 62%,6 of 7 — 85%
Gladbach,German Bundesliga,J4,39%,83% — 371 of 446,54% — 7 of 13,87% — 7 of 8
